1000 outputs of genrand64_int64()
16882222793411337873  8081990971765368597 14252666753958129408 11126925061763154179 13394438099629347437 
11912935574829894899 16110600924041540228  4866706536749909233   518539071650117148  6424099523509151520 
 9881426745655728072 18061256477893251865  9692618901726658210   443934290291045038 16168760397566622314 
13993942535672505673  2971285229259246646 15249957409116060500 17520006916818266008 11252861062875722975 
 2599013706602032191 12687723297976069599  9889473400925296917 13692322852355375177  3910674798427203560 
 5828332000202723317 15844183797332225355 17889198479983402082  8198783999423962803  6789481613651300912 
 5759136158613133688  6591205491588613711  5955932643943129432   391230727085429158  2158040177950226492 
 7880793882638018065 16450778291673521935 17073894760970418670  5577022522906349199 10718847316087683268 
 3487562783476253488  5368670521643723188  6000971485960002877 15303393011308447799  1149028619526954094 
 6664558781140224692  6821191222329769937 16240920017711818441  7066302248611760246  3483366773532597105 
 3338071516705606024  1741432292752009318 10362230245425994506  3767350064445779230 12817743662256633848 
17530038833280139422  5534701266368042923 13634034729852682734  2678314039681416277  4376018194861411649 
 3545737256743402346 15653768086326290969 14117222485919961667  9181169754214978115  4154981865357102468 
 3880470829177318015 16680171573446622596 14298583644911137573  7971694160316338854 16217730926897652501 
 5962997824445844377 11260897825511515162  4026529643285407897 11131272178490803010  7267985432188049666 
12799271219339927820   685533966284302881 17782210517433164487 17421940856476609621 15817579490857733278 
 4024294733591473715 13283294521405203190 10953372531969381366  4478756865639507370  4171635024897945612 
 3647586788465182067  6225467301049466442 17285052529915976454  4192251386002656421  3026751227642086610 
12485803749767348840 15953069873777986025  6134173671081182539  3445426679267428170  5567588879955228546 
 5881158586746588331 13797522360452822254   259935681363033994 15355112600663177200 17334598250525367872 
 4546229800998246697  1571838540665049950 13782059217259779379   459448120511029477 16860021056676158386 
12213485482016749212  8926979848645605452   130345980695095997 12160115864356219015  1114166924213600691 
 5327799639566820456  6180499828471537083 14292676146084220017  6446820686199415550 10880813637827650737 
 1474983542211828027 17507256305119367939 14662828630495932257 11032391610747903315 10465174264281244155 
  194580116237264250  2614541383085633307  8177861281131389138 13485788730789943514  8384933073527748899 
12436774781404827831 14736892686224121325  1707522622728126626   869680469701333854  3926545455904398183 
11892623213800336159  3992451093784582973 10536074255172489311 12071872872802761869  3433570441026383589 
 3770234426535531542 12960283547675356794  3699825450947842139  3935827620573744547  7355358910165715062 
