1000 outputs of genrand64_int64()
14567931492842958918 16931530543475229310 11971394249160590354  3204809616169993928 10472627469265910515 
12228993427024493176 10082623337709799510 18316942577279372742  2283600906069970908 16078031172307194509 
13135741367062837919 10686404456377977070  4280980693477864393  3423977649684726345  6122286431108378701 
 3925508489291339889 17007116396295776767 10856961098597177543  5346475840730533985  8460061425130926713 
 7792562817963623531  2033092164633118919 16811311876946411272  7571451860517754363  9045382537163920320 
16621664345587581184 16786364179246758207 12271847928213935417 11566254557915451904 17826462539445564885 
 1214658225843084813  4305964706470148725  9029278561240723173 11214786626723711798 16117180524468207064 
10222778820671664586   768960290625352533 13312105365895825859  5289543438271952197  3259292340060166501 
13401426437829025955  2934234865469665022   150511477337175065 11538235371050422112 17003826701378479261 
    6683780902616961  1194050930929824396  5947025624130152749 16087230317851342198  1800610055947086264 
  199278418211769376  6378323038941035384  8908933772040326943  5751954242115068742   859753967692129222 
12837068433849817775 12325089558115324522  2370661724513742104 12167525337445826202  6292047275228618896 
12818513127666844156  4948434278851579145  2810180733438742167    78892812767533145 15676536140713951894 
16371511517071080483  1630483592627534779 16541901262969708017  3304357103138885878  2464732655297888046 
 5434554004006006994 12629968644724061793 15436265738254220625 10799771859607349048  1399801527783567744 
17118977156040375416  8220724643243916439 17123925053125755798   414577335187087357  4261545361296925597 
 6211575320433504258 12901328108877129159 14448725453762159612  2266859314039364922 12612369703864533872 
 3891527187849780778 11299147741713780655  4319423941590923225 16765203912981758142  6056639317183698700 
18278080448949670031  4638551995555772110  4258656916338332945 17819442788552452334  2369502105071031586 
 1774475464245133401  5434145063297681076   789442300083327170 16427160139786289851   476846726243069716 
12185927438693582350   779542874381936685  5637596501208789273  1280667601269073252  3115652802068240111 
 5394068262435073377 17012643150067677245 11534758694347025534  4324362813062353133  8745476056943168428 
 2308613664013987824 11493057233955016891  6861925732287959267 14490161870560460049  1777579852574348853 
 8085826994042029241  9771229751235130584  3412323621062172852  6400538167216919369    18349571311734955 
 4825376351961850947  6017150052536426041  6914747927869350014  2791218291791749145  9562888363256280705 
17287413998181904619  9771063114210391972  3862209598430621192 15371238410314055263  1987260390564516618 
 7700983050354608277  9028818873146283877 11505908431796455456 12498589349794281742 14986379798289093052 
 5546533498054887858 11405097612988198321 14993856421820027528  3509402912777167118 12896224364427017902 
 8982837162503166018 13205364484500357725  8772316269497466089  1190193477741489754  2655052601914369627 
 6760956589144383406 14245719397467657465 14193418483732726785  2628765775360793708  6302330643834748360 
15051846941403751134  1172475006453545669  2561373770855537761   505909611294847135  9659970932848401046 
14472159471153673165  5947847557696697952  2974353393370913310  1968000774998425571 12816802843097124370 
16059647227005103057  6990590245676393572 14279863232066419994 11777199791235323236  2418153505527530252 
16024039857886206737  6340642089073379158  1273631720031326406 10221134448342732143 11786922960572584742 
  331975547926509000 10767900759971259029 11809889225336638774 12104797871420244344  8598899116062235065 
 1984093090307088248  9410527594722970215  7782689086582446930  7660282753895678078 13647211158042024908 
 1249699192083422140 18407645500785539252  1031501404885656191 16420700849208838376  3006348079139060932 
 2647655997206421456 14357251546884134282  7205657556971426191 11612042884156629804  2702586999744485734 
17886350639373074443  7477903770386846080  6926152208566014067 15968332420534089015  4046038946366993023 
12177672362072798088  3093455702579944271  5235315409679687889   298392467033796815 16789047766294197422 
