1000 outputs of genrand64_int64()
 8885559284637655700  1019729757694249389 15011039263452643560 11819002182095835046  6642529132017909382 
15496862764809786900 11078352680195390467  7778966112963733320  2107273747906671622 13361901020666399918 
  286574618406570744 10534247628302284880 11928312591937506275  8206627193446843408  4587708714442915735 
 7979091034992813281 13456952658323595973  4574955013085774578  3896701720975599484 11859483435721627175 
14083630730253039515  5595246846134691267  3416630391311083784  1748312304296500377  2156036721378944715 
 9734368435498999418 15172132419185023837   899936109418579063  5067496471078250781  3111668529856989364 
 6574537188001774247 17857971663812655665 15941266777093241371 11884498314057386906 18411287486926764970 
17884799998547696973  6614825715855744026 15913758247659311376 12699011486470866499  8589662758849488155 
 4489827186367409662  4977972916428532503  8559992716860757234  2186942064424230037  4873950446455700300 
 6658888345743440790  1690106319799459061  2157198822160102763 15520719328428865388  5536375369859662449 
15196936647409317765  6425046371829028283  8903766490524731188 12935697952547324511 10021883420397362023 
14954398628620496746 13045199779967717931  8508019064881056669 12195233931777370452 12300918428771520841 
 5615348889931541918 13867005313957444004 12520662509477939569 11124692881213746109  3074452532783862669 
 6383432570866837723 17914762054447120388 11959733198715160467 15692716785372385418 12433697781842880128 
 6872401422545502830 10792678274049166238  5379771068802275040 13600750129597530687  1671002481397748033 
16569582580902579411   461787155982414033 17832208906550339878 13287627057298295863 15595593044246873685 
15386515096896835875 12968248916020684173  2797352610514020590  7949931709786372615 11629154999459024912 
18061043829055849669 10549297473920523178 10954676344595254365 18177570883256397666 15045220884616687211 
 4070565985386668110 16341513556639977757 11555649792719353867 17103670094753294257  1125378386500557880 
10711963392627419075 14777178914696306189  2966639030697673892  5982315656579541678 17952653994887110999 
 7236598021277817371  4795267825172889049  7034839613197162364 13909058889660482140  5587903248969860875 
 4868514509888802692 15054799309052453015  5815775780637328387  4357939034230849347    23385830577951737 
 6206873385244403698  8145544650403227801   867121439650573922 10942094316739056682  8228659443767929442 
  763124838269175592  9810368261629773948 12127138005820513988  9380075389191957368 12809030189308135892 
 6968019991411966372 16770073861087964230  9437331054905690302  8406692216957828877 10582510557710024241 
13355664918964014049  3461991634188541960 12164153636697177043 12950629953092767626  5499850347016004741 
11166558479050838269   790741323119162162 14328909646624943617  3444749658163200285  3307977971963935291 
